"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q2","Q6_First.Click","Q6_Last.Click","Q6_Page.Submit","Q6_Click.Count","Q1_1"
"1",1,"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","Firstly, after your last mindfulness practice, did you try being mindful during an activity (e.g. chores or walking)?","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","During the ten minute session, what percentage of time were you focusing on the practice? - % time focused"
"2",2,"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_FIRST_CLICK""}","{""ImportId"":""QID5_LAST_CLICK""}","{""ImportId"":""QID5_PAGE_SUBMIT""}","{""ImportId"":""QID5_CLICK_COUNT""}","{""ImportId"":""QID3_1""}"
"3",3,"2022-01-26 07:17:50","2022-01-26 07:28:25","0","37.60.109.183","100","635","1","2022-01-26 07:28:25","R_2vY6OuZcKNkiJcs","","","A13SU1KYTTHVLW6R81L9","","51.52130126953125","-0.2714996337890625","email","EN","1","0.377","0.377","625.767","1","88"
"4",4,"2022-01-29 09:00:22","2022-01-29 09:15:13","0","37.60.109.184","100","890","1","2022-01-29 09:15:14","R_3nCKk3xmp3KXk8A","","","LVMM6MVQ5R9BSSGKB5LZ","","51.52130126953125","-0.2714996337890625","email","EN","1","0.701","0.701","763.901","1","22"
"5",5,"2022-01-30 23:13:24","2022-01-30 23:21:02","0","86.3.228.171","100","457","1","2022-01-30 23:21:02","R_2uEzQP9QTM5D3es","","","EZQFR9I833NH7VP9PM0X","","50.8612060546875","-0.1194000244140625","email","EN","1","0","0","439.992","0","40"
"6",6,"2022-02-01 14:05:03","2022-02-01 14:17:22","0","37.60.109.183","100","738","1","2022-02-01 14:17:22","R_3koWAiHZmsxeukS","","","21ESW672M47UAAE1NFNJ","","51.52130126953125","-0.2714996337890625","email","EN","2","0.803","1.132","716.334","2","76"
"7",7,"2022-02-01 15:35:05","2022-02-01 15:48:27","0","37.60.109.183","100","802","1","2022-02-01 15:48:27","R_3mf1gmV8AwPfbjV","","","9RP88PVQMOCKVLX9LVXO","","51.52130126953125","-0.2714996337890625","email","EN","1","0","0","770.948","0","85"
"8",8,"2022-02-02 10:09:14","2022-02-02 10:19:59","0","94.195.21.21","100","644","1","2022-02-02 10:20:01","R_2QDHVtzy0DtxPtu","","","JZRBMOJCC6208YO3ACY3","","50.8428955078125","-0.1157989501953125","email","EN","2","1.102","1.102","631.76","1","61"
"9",9,"2022-02-02 11:29:57","2022-02-02 11:40:29","0","151.226.171.209","100","632","1","2022-02-02 11:40:31","R_3MlJOq0IizjUUDU","","","NFAXCYJMIJ2KJTKI3DXV","","50.7891998291015625","0.0823974609375","email","EN","2","0","0","622.344","0","75"
"10",10,"2022-02-02 09:07:56","2022-02-02 15:56:31","0","46.31.241.44","100","24514","1","2022-02-02 15:56:31","R_21tD1r8kiIwlgAc","","","FO8WPZZLG5QEJUBAMNVN","","49.455596923828125","-2.53460693359375","email","EN","1","0","0","1966.506","0","82"
