"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q2","Q6_First.Click","Q6_Last.Click","Q6_Page.Submit","Q6_Click.Count","Q1_1"
"1",1,"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","Firstly, after your last mindfulness practice, did you try being mindful during an activity (e.g. chores or walking)?","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","During the ten minute session, what percentage of time were you focusing on the practice? - % time focused"
"2",2,"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_FIRST_CLICK""}","{""ImportId"":""QID5_LAST_CLICK""}","{""ImportId"":""QID5_PAGE_SUBMIT""}","{""ImportId"":""QID5_CLICK_COUNT""}","{""ImportId"":""QID3_1""}"
"3",3,"2022-01-27 07:34:08","2022-01-27 07:48:33","0","37.60.109.183","100","865","1","2022-01-27 07:48:34","R_3PNd4feGjbnK2NH","","","A13SU1KYTTHVLW6R81L9","","51.52130126953125","-0.2714996337890625","email","EN","1","0.801","0.801","725.179","1","86"
"4",4,"2022-01-30 07:37:15","2022-01-30 07:49:51","0","86.178.48.239","100","755","1","2022-01-30 07:49:51","R_2us1RkK4bxdg585","","","LVMM6MVQ5R9BSSGKB5LZ","","51.604095458984375","-0.1681976318359375","email","EN","2","0","0","744.232","0","5"
"5",5,"2022-01-31 09:55:07","2022-01-31 10:05:01","0","86.3.228.171","100","594","1","2022-01-31 10:05:03","R_3hEHWkyQeyH9gdJ","","","EZQFR9I833NH7VP9PM0X","","50.8612060546875","-0.1194000244140625","email","EN","2","0","0","583.317","0","70"
"6",6,"2022-02-02 20:03:54","2022-02-02 20:16:51","0","37.60.109.184","100","776","1","2022-02-02 20:16:52","R_2BhcoFZeXEbezBJ","","","9RP88PVQMOCKVLX9LVXO","","51.52130126953125","-0.2714996337890625","email","EN","1","0","0","765.942","0","67"
"7",7,"2022-02-03 07:31:35","2022-02-03 07:42:12","0","151.226.171.209","100","636","1","2022-02-03 07:42:13","R_2S2B5q22sU5VPzP","","","NFAXCYJMIJ2KJTKI3DXV","","50.7891998291015625","0.0823974609375","email","EN","2","2.302","2.584","618.719","2","55"
"8",8,"2022-02-03 08:29:17","2022-02-03 08:40:06","0","94.195.21.21","100","648","1","2022-02-03 08:40:07","R_0oLrNVzdLStOWnT","","","JZRBMOJCC6208YO3ACY3","","50.8428955078125","-0.1157989501953125","email","EN","2","4.063","628.922","628.958","2","38"
"9",9,"2022-02-03 11:10:41","2022-02-03 11:11:14","0","139.184.223.152","100","33","1","2022-02-03 11:11:14","R_3p9AcAijLxXL68l","","","9E8CFKXGPFBJIEBKGUEF","","50.8612060546875","-0.1194000244140625","email","EN","1","0","0","1.798","0","81"
"10",10,"2022-02-03 11:13:52","2022-02-03 11:26:51","0","37.60.109.183","100","778","1","2022-02-03 11:26:51","R_3CUFPCjrAe4bUU2","","","21ESW672M47UAAE1NFNJ","","51.52130126953125","-0.2714996337890625","email","EN","1","1.145","762.51","763.309","4","88"
