"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q2","Q6_First.Click","Q6_Last.Click","Q6_Page.Submit","Q6_Click.Count","Q1_1"
"1",1,"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","Firstly, after your last mindfulness practice, did you try being mindful during an activity (e.g. chores or walking)?","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","During the ten minute session, what percentage of time were you focusing on the practice? - % time focused"
"2",2,"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_FIRST_CLICK""}","{""ImportId"":""QID5_LAST_CLICK""}","{""ImportId"":""QID5_PAGE_SUBMIT""}","{""ImportId"":""QID5_CLICK_COUNT""}","{""ImportId"":""QID3_1""}"
"3",3,"2022-01-24 07:15:48","2022-01-24 07:27:10","0","37.60.109.183","100","682","1","2022-01-24 07:27:11","R_3dXRJerYPNdyMsW","","","A13SU1KYTTHVLW6R81L9","","51.52130126953125","-0.2714996337890625","email","EN","1","1.696","672.015","672.693","4","82"
"4",4,"2022-01-26 17:13:56","2022-01-26 17:24:27","0","213.205.202.136","100","631","1","2022-01-26 17:24:28","R_10De8Qy1kDr2d9K","","","EZQFR9I833NH7VP9PM0X","","51.387298583984375","-0.15960693359375","email","EN","1","0","0","614.634","0","70"
"5",5,"2022-01-27 11:30:51","2022-01-27 11:43:13","0","37.60.109.184","100","741","1","2022-01-27 11:43:13","R_1r2HszfiobG3tyx","","","LVMM6MVQ5R9BSSGKB5LZ","","51.52130126953125","-0.2714996337890625","email","EN","1","0","0","719.787","0","42"
"6",6,"2022-01-29 08:44:20","2022-01-29 08:56:27","0","37.60.109.183","100","727","1","2022-01-29 08:56:28","R_smXuU5bpNXIJO81","","","21ESW672M47UAAE1NFNJ","","51.52130126953125","-0.2714996337890625","email","EN","1","1.201","1.47","715.151","2","82"
"7",7,"2022-01-29 12:13:02","2022-01-29 12:26:33","0","46.31.241.44","100","811","1","2022-01-29 12:26:35","R_C9pcCCDkI3vlY6B","","","FO8WPZZLG5QEJUBAMNVN","","49.455596923828125","-2.53460693359375","email","EN","1","0","0","633.9","0","81"
"8",8,"2022-01-30 12:56:55","2022-01-30 13:08:49","0","151.226.171.209","100","713","1","2022-01-30 13:08:49","R_3qrF40uSScJSGDi","","","NFAXCYJMIJ2KJTKI3DXV","","50.7891998291015625","0.0823974609375","email","EN","2","0","0","600.796","0","65"
"9",9,"2022-01-30 17:06:47","2022-01-30 17:18:51","0","37.60.109.184","100","724","1","2022-01-30 17:18:52","R_SN0rVNAFxaD4O3v","","","9RP88PVQMOCKVLX9LVXO","","51.52130126953125","-0.2714996337890625","email","EN","2","0","0","712.107","0","65"
"10",10,"2022-01-31 08:43:59","2022-01-31 08:54:28","0","94.195.21.21","100","629","1","2022-01-31 08:54:30","R_27NDfOjfKqNktdT","","","JZRBMOJCC6208YO3ACY3","","50.8428955078125","-0.1157989501953125","email","EN","2","1.301","1.301","613.935","1","26"
