"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q2","Q6_First.Click","Q6_Last.Click","Q6_Page.Submit","Q6_Click.Count","Q1_1"
"1",1,"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","Firstly, after your last mindfulness practice, did you try being mindful during an activity (e.g. chores or walking)?","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","During the ten minute session, what percentage of time were you focusing on the practice? - % time focused"
"2",2,"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_FIRST_CLICK""}","{""ImportId"":""QID5_LAST_CLICK""}","{""ImportId"":""QID5_PAGE_SUBMIT""}","{""ImportId"":""QID5_CLICK_COUNT""}","{""ImportId"":""QID3_1""}"
"3",3,"2022-01-25 07:16:58","2022-01-25 07:31:28","0","37.60.109.183","100","870","1","2022-01-25 07:31:29","R_2dQG0vc5stiog3y","","","A13SU1KYTTHVLW6R81L9","","51.52130126953125","-0.2714996337890625","email","EN","1","5.405","506.906","730.274","3","78"
"4",4,"2022-01-27 22:34:45","2022-01-27 22:47:37","0","86.3.228.171","100","771","1","2022-01-27 22:47:39","R_1JX8L0ochH10kAP","","","EZQFR9I833NH7VP9PM0X","","50.8612060546875","-0.1194000244140625","email","EN","2","0","0","759.059","0","50"
"5",5,"2022-01-28 22:06:54","2022-01-28 22:19:04","0","37.60.109.184","100","730","1","2022-01-28 22:19:05","R_6Xqp969CPu2BSYp","","","LVMM6MVQ5R9BSSGKB5LZ","","51.52130126953125","-0.2714996337890625","email","EN","1","0","0","717.049","0","21"
"6",6,"2022-01-31 12:01:55","2022-01-31 12:14:33","0","37.60.109.184","100","757","1","2022-01-31 12:14:33","R_1iqWoa9lG2q9Foz","","","9RP88PVQMOCKVLX9LVXO","","51.52130126953125","-0.2714996337890625","email","EN","1","0","0","748.271","0","75"
"7",7,"2022-01-31 20:12:59","2022-01-31 20:31:21","0","37.60.109.183","100","1101","1","2022-01-31 20:31:22","R_3k0nCr3rQdzapBp","","","21ESW672M47UAAE1NFNJ","","51.52130126953125","-0.2714996337890625","email","EN","2","0.916","1.174","1087.032","2","25"
"8",8,"2022-02-01 09:31:11","2022-02-01 09:42:00","0","94.195.21.21","100","648","1","2022-02-01 09:42:00","R_1ISGzxVYm6V8CQs","","","JZRBMOJCC6208YO3ACY3","","50.8428955078125","-0.1157989501953125","email","EN","2","1","624.78","624.851","3","43"
"9",9,"2022-01-31 13:16:28","2022-02-01 12:07:24","0","46.31.241.44","100","82256","1","2022-02-01 12:07:26","R_1Ol3X26vkp1MYa0","","","FO8WPZZLG5QEJUBAMNVN","","49.455596923828125","-2.53460693359375","email","EN","1","0","0","1040.17","0","82"
"10",10,"2022-02-01 14:38:25","2022-02-01 14:40:45","0","193.176.30.112","100","139","1","2022-02-01 14:40:45","R_1pSRqLSJMi0HeIN","","","9E8CFKXGPFBJIEBKGUEF","","51.531402587890625","-0.1703033447265625","email","EN","1","0","0","119.979","0","76"
